,Headlines,Andrew,Bryan,Charlie,David,Elfie,Freddy,George,Henry,Islam,Jack,Kevin
4816,Labour's free broadband plan fires up the election battle,0,0,0,0,0,0,0,0,0,0,0
4817,Andrew Sparrow's election briefing  Andrew Sparrow's election briefing: Labour's broadband pledge dominates,0,0,0,0,0,0,0,0,0,0,0
4818,Australia demands compensation over Brexit trade disruption,0,0,0,0,0,0,0,0,0,0,0
4819,The Guardian view on Labour’s broadband nationalisation: radical and necessary,0,0,0,0,0,0,0,0,0,0,0
4820,The Guardian view on the NHS and the election: money talks,0,0,0,0,0,0,0,0,0,0,0
4821,Food prices set to rise in UK as floods ruin crops,1,0,0,0,0,0,0,1,1,0,0
4822,Openreach overreach? Labour's free broadband plan faces hurdles,0,0,0,0,0,0,0,0,0,0,0
4823,Payday lender Non-Standard Finance warns on profits,0,1,1,1,0,1,1,1,1,0,0
4824,A big galaxy with few sugar-free options,0,0,0,0,0,0,0,0,0,0,0
4825,Carpetright agrees £15m sale to main investor Meditor,0,0,0,0,0,0,0,0,0,0,0
4826,Noel parking: Tesco van appears on roof to start Christmas ad blitz,0,0,0,0,0,0,0,0,0,0,0
4827,Lloyds shareholders lose legal fight over HBOS takeover,0,0,0,0,0,0,0,0,0,0,0
4828,Business live  BT claims Labour nationalisation plan would cost up to £100bn - business live,0,0,0,0,0,0,0,0,0,0,0
4829,Bribery allegations over fishing rights rock Iceland and Namibia,0,0,0,0,0,0,0,0,0,0,0
4830,Halifax joins HSBC in letting customers block cards from gambling,0,0,0,0,0,0,0,0,0,0,0
4831,This pension scheme has 8m members – and ethical savers do best,0,0,0,0,0,0,0,0,0,0,0
4832,How feasible is Labour's free broadband plan and part-nationalisation of BT?,0,0,0,0,0,0,0,0,0,0,0
4833,European Investment Bank to phase out fossil fuel financing,0,1,1,1,0,1,1,1,1,0,0
4834,Jeremy Corbyn attacks 'pricing out' of football fans in Premier League,0,0,0,0,0,0,0,0,0,0,0
4835,'We saw a double sunrise': London-Sydney flight touches down after 19 hours,0,0,0,0,0,0,0,0,0,0,0
4836,"Labour knew austerity was wrong. Now, at last, it also has a vision for growth",0,0,0,0,0,0,0,0,0,0,0
4837,Labour urged to scale back plans to give workers stake in firms,0,0,0,0,0,0,0,0,0,0,0
4838,Victims of bank transfer scams risk being left unprotected,0,1,1,1,0,1,1,1,1,0,0
4839,Watchdog attacks Tory and Labour minimum wage proposals,0,0,0,0,0,0,0,0,0,0,0
4840,"Nils Pratley on finance  


  Sleepy G4S misses warning signs as top shareholder publicly shuns firm",0,1,1,1,0,1,1,1,1,0,0
4841,Chinese manufacturing slows as trade war with US dents confidence,0,0,0,0,0,0,1,0,0,0,1
4842,Neoliberalism and the European Union,0,0,0,0,0,0,0,0,0,0,0
4843,'Burrito bond' Mexican restaurant chain in restructuring talks,0,0,0,0,0,0,0,0,0,0,0
4844,Australian litigation funding giant rejects Christian Porter's 'lawfare' claim,0,0,0,0,0,0,0,0,0,0,0
4845,"City firms must do more to tackle sexual harassment, says FCA executive",0,0,0,0,0,0,0,0,0,0,0
4846,Business live  Germany downplays stimulus hopes as economy escapes recession - business live,0,0,0,0,0,0,0,0,0,0,0
4847,National Grid invests £2bn in US amid doubt over UK business,0,0,0,0,0,0,0,0,0,0,0
4848,"Housebuilding in England at 30-year high, government data shows",0,0,0,0,0,0,0,0,0,0,0
4849,Burberry and Cathay Pacific profits dented by Hong Kong protests,0,0,0,0,0,0,0,0,0,0,0
4850,Trump hotel sales pitch boasts of profit potential from foreign governments,0,0,0,0,0,0,0,0,0,0,0
4851,Throwing big numbers around ignores the economic questions that really matter,0,0,0,0,0,0,0,0,0,0,0
4852,UK retail sales hit by surprise downturn despite big discounting,1,0,1,1,1,0,0,0,1,1,0
4853,Has Microsoft given up on small business?,0,0,0,0,0,0,0,0,0,0,0
4854,UK retail crisis slashes 10% off British Land property values,1,0,1,1,1,1,1,1,1,1,1
4855,Norwegian wealth fund blacklists G4S shares over human rights concerns,0,0,0,0,0,0,0,0,0,0,0
4856,"Mercedes-Benz to axe more than 1,000 jobs in cost-cutting drive",0,0,0,0,0,0,0,0,0,0,0
4857,'I live on the street now': how Americans fall into medical bankruptcy,0,1,1,1,0,1,1,1,1,1,1
4858,Asic snaps back at critics of responsible lending laws after Frydenberg comments,0,0,0,0,0,0,0,0,0,0,0
4859,Incoming BHP boss Mike Henry refuses to say if company will quit Minerals Council,0,0,0,0,0,0,0,0,0,0,0
4860,John Lewis Christmas ad features excitable dragon Edgar,0,0,0,0,0,0,0,0,0,0,0
4861,Shareholder payouts have risen 6.4 times faster than wages – TUC,0,0,0,0,0,0,0,0,0,0,0
4862,Trump contradicts aides and says troops in Syria 'only for oil',0,1,0,1,0,1,0,0,1,1,0
4863,New inpatients banned at mental health unit rated unsafe,0,0,0,0,0,0,0,1,0,1,1
4864,"Nils Pratley on finance  


  JD Wetherspoon pubs boss brews up a storm over governance",0,1,1,1,0,1,1,1,1,0,0
4865,Investors in Neil Woodford fund could lose further £1bn,0,0,0,0,0,0,0,0,0,0,0
4866,Wetherspoon boss hits out at 'up the spout' City rules,0,0,0,0,0,0,0,0,0,0,0
4867,Top 1% of earners in UK account for more than a third of income tax,0,0,0,0,0,0,0,0,0,0,0
4868,Royal Mail wins high court injunction to stop postal strike,0,0,0,0,0,0,0,0,0,0,0
4869,Business live  UK inflation hits three-year low; London house prices fall again – business live,0,0,0,0,0,0,0,0,0,0,0
4870,Drug users offered Greggs vouchers to get tested for hepatitis C,0,0,0,0,0,0,0,0,0,0,0
4871,Mulberry reports £11m losses despite efforts to win younger customers,0,0,0,0,0,0,0,0,0,0,0
4872,"Serco's evictions of refused asylum seekers lawful, judges rule",0,0,0,0,0,0,0,0,0,0,0
4873,British Gas owner wins high court fight over energy price cap,1,1,0,1,0,1,0,1,1,1,0
4874,Google to offer personal banking accounts in partnership with Citigroup,0,1,1,1,0,1,1,1,1,0,0
4875,The toxic relationship between Britain and Russia has to be exposed,0,0,0,0,0,0,0,0,0,0,0
4876,HSBC to let customers block spending on gambling websites,0,0,0,0,0,0,0,0,0,0,0
4877,Other lives  Richard Snell obituary,0,0,0,0,0,0,0,0,0,0,0
4878,UK inflation at three-year low of 1.5% as energy prices fall,0,1,0,1,0,1,0,0,1,1,0
4879,Tesla cites Brexit as Germany chosen over UK for European plant,0,0,0,0,0,0,0,0,0,0,0
4880,Monopolies cost Americans $300 a month. We're no longer the land of free markets,0,1,1,1,0,1,1,1,1,0,0
4881,Mars to launch vegan Galaxy bar,0,0,0,0,0,0,0,0,0,0,0
4882,"Bank bosses acting like pilots who have parachutes their passengers don't, regulator says",0,1,1,1,0,1,1,1,1,0,0
4883,"Climate change: do more now or risk catastrophe, warns energy agency",0,1,0,1,0,1,0,0,1,1,0
4884,Half of new FTSE 100 chiefs must be women to hit gender target,0,0,0,0,0,0,0,0,0,0,0
4885,Love Island and Rugby World Cup boosts ITV,0,0,0,0,0,0,0,0,0,0,0
4886,Is carbon neutrality the silver bullet fashion has been hoping for?,0,0,0,0,0,0,0,0,0,0,0
4887,McDonnell takes on McDonald's over tax and workers' pay,0,0,0,0,0,0,0,0,0,0,0
4888,UK employment takes biggest tumble in four years,0,0,0,0,0,0,0,0,0,0,0
4889,"As a McDonald’s worker, I hope this is the last time I have to go on strike",0,0,0,0,0,0,0,0,0,0,0
4890,City regulator staff slated over 'shameful' behaviour at London HQ,0,0,0,0,0,0,0,0,0,0,0
4891,Royal Mail loses appeal over £50m fine for breaking competition law,0,0,0,0,0,0,0,0,0,0,0
4892,Twenty Poond notes: investigation after ATM dispenses toy money,0,0,0,0,0,0,0,0,0,0,0
4893,Cautious UK shoppers dent profits at shopping centres owner,0,0,0,0,0,0,0,0,0,0,0
4894,New Look blames poor sales on weak consumer spending and bad weather,1,0,1,1,1,0,0,0,1,1,0
4895,"Nils Pratley on finance  


  HS2 costs head north just as its value falls south",0,1,1,1,0,1,1,1,1,0,0
4896,Newsquest bids for JPI to create UK regional press powerhouse,0,1,0,1,0,1,0,0,1,1,0
4897,Business live  Young people and part-time workers hit by fall in UK employment – business live,0,0,0,0,0,0,0,0,0,0,0
4898,Co-author of leaked HS2 report demands his name is removed,0,0,0,0,0,0,0,0,0,0,0
4899,'Heavenly' Italian beach to charge entry fee to cut overcrowding,0,0,0,0,0,0,0,0,0,0,0
4900,"In plain view  


  Wake up, politicians! Disabled people rely on social care too – not just older people",0,0,0,0,0,0,0,0,0,0,0
4901,"Products from Israeli settlements must be labelled, EU court rules",0,0,0,0,0,0,0,0,0,0,0
4902,New trailer for Sonic the Hedgehog released after disastrous first version,0,0,0,0,0,0,0,0,0,0,0
4903,"Project Syndicate economists  


  Revolution of rising expectations could hit China's economy",0,0,0,0,0,0,0,0,0,0,0
4904,Boeing 737 Max jets could fly again by January with safety checks under way,0,0,0,0,0,0,0,0,0,0,0
4905,Sainsbury’s Christmas ad offers new twist on Dickensian London,0,0,0,0,0,0,0,0,0,0,0
4906,"Travis Kalanick, controversial ex-Uber CEO, cashes in $547m of shares",0,0,0,0,0,0,0,0,0,0,0
4907,"Walgreens heading for biggest private equity buyout ever, says report",0,0,0,0,0,0,0,0,0,0,0
4908,"Nils Pratley on finance  


  A buyer for British Steel is welcome but what’s Jingye’s strategy?",0,1,1,1,0,1,1,1,1,0,0
4909,Business live  UK GDP: Economy avoids recession despite weakest growth in a decade – as it happened,0,0,0,0,0,0,0,0,0,0,0
4910,"Banking tech could lead to discrimination, says ex-regulator",1,1,1,1,1,1,1,1,1,1,0
4911,Ex-charity head admits defrauding disabled workers' pension scheme,0,0,0,0,0,0,0,0,0,0,0
4912,Alibaba's Singles Day sales top $30bn as it heads for record-breaking return,0,0,0,0,0,0,0,0,0,0,0
4913,"British Steel to be sold to Chinese firm in deal that could save 4,000 jobs",0,0,0,0,0,0,0,0,0,0,0
4914,'Uncertainty has been a nightmare': UK businesses on the economy,0,0,0,0,0,0,0,0,0,0,0
4915,The continuing UK ban on cannabis-based painkillers is absurd and inhumane,0,0,0,0,0,0,0,0,0,0,0
4916,UK avoids recession but that's cold comfort amid Brexit cloud,0,0,0,0,0,0,0,0,0,0,0
4917,Greggs predicts higher profits as it bucks high street gloom,0,0,0,0,0,0,0,0,0,0,0
4918,National Galleries Scotland to end BP ties over climate concerns,0,0,0,0,0,0,0,0,0,0,0
4919,North York Moors mine plan could be rescued by £465m investment,0,1,1,1,0,1,1,1,1,0,0
4920,Marvel's Kevin Feige brushes off Scorsese superhero movies criticism,0,0,0,0,0,0,0,0,0,0,0
4921,"Project Syndicate economists  


  A Chinese digital currency is the real threat, not Facebook's Libra",0,0,0,0,0,0,0,0,0,0,0
4922,UK avoids recession but Brexit uncertainty damages growth,0,0,0,0,0,0,0,0,0,0,0
4923,First cannabis-based medicines approved for use on NHS,0,0,0,0,0,0,0,0,0,0,0
4924,Democracy doesn’t matter to the defenders of ‘economic freedom’,0,0,0,0,0,0,0,0,0,0,0
4925,Cornish homes take part in trial to supply clean power to grid,0,1,0,1,0,1,0,0,1,1,0
4926,BA to review 'fuel tankering' after Panorama revelations,0,0,0,0,0,0,0,0,0,0,0
4927,TSB 'may close up to 100 branches and put 400 jobs at risk',0,0,0,0,0,0,0,0,0,0,0
4928,Gambling firms criticised for 'enticing' loss-making customers,0,0,0,0,0,0,0,0,0,0,0
4929,Bidding for 'milestone' sale of Aramco shares set for next week,0,0,0,0,0,0,0,0,0,0,0
4930,"Environmental investigations  Inside Market Forces, the small climate group Scott Morrison wants to put out of business",0,1,1,1,0,1,1,1,1,0,0
4931,Chinese industrial giant poised to buy up British Steel for £70m,0,0,0,0,0,0,1,0,0,0,1
4932,Is Sajid Javid right about the cost of Labour's spending plan?,0,0,0,0,0,0,0,0,0,0,0
4933,Stella Creasy calls for inquiry into FCA over Wonga and QuickQuid,0,0,0,0,0,0,0,0,0,0,0
4934,York shop bans cheesy Christmas music for sake of staff,0,0,0,0,0,0,0,0,0,0,0
4935,Labour’s pledge to revive Sure Start highlights austerity’s trail of destruction,0,0,0,0,0,0,0,0,0,0,0
4936,"Viewpoint column  


  Javid and McDonnell both betting the dog of inflation won't bark",0,0,0,0,0,0,0,0,0,0,0
4937,"For small businesses, it could be a bumper Christmas – but deep inside there's fear",0,0,0,0,0,0,0,0,0,0,0
4938,Opioids emerge as key sticking point for US-China trade deal,0,0,0,0,0,0,0,0,0,0,0
4939,Observer dispatch  ‘The scene has exploded’: China gets set to be leading global centre for art,0,0,0,0,0,0,0,0,0,0,0
4940,Asda could face consumer backlash as it enforces new contracts,1,0,1,1,1,0,0,0,1,1,0
4941,"Business leader  


  Today’s weak economy shouldn’t aid the Tories: but that was true in 1992 too",0,0,0,0,0,0,0,0,0,0,0
4942,Thailand wants to ban these three pesticides. The US government says no,0,0,0,0,0,0,0,0,0,0,0
4943,Billionaires fear Warren and Sanders – but they should fear us all,0,0,0,0,0,0,0,0,0,0,0
4944,Observer business agenda  Wetherspoons shareholders call time on pro-Brexit politics in pubs,0,0,0,0,0,0,0,0,0,0,0
4945,BT on defensive as Sky prepares to bid for Champions League,0,0,0,0,0,0,0,0,0,0,0
4946,"Bras for £2, pyjamas for £5 … how low, low prices keep Primark tills ringing",0,0,0,0,0,0,0,0,0,0,0
4947,The hidden fight for the City could drive Leave voters towards Farage,0,0,0,0,0,0,0,0,0,0,0
4948,"In 1989, capitalism won. Today its greatest ideological challenge is the planet",0,0,0,0,0,0,0,0,0,0,0
4949,"Inside the Guardian  Larry Elliott Q&A: 'History shows that, right now, we're playing with fire'",0,0,0,0,0,0,0,0,0,0,0
4950,Back in the loop: why cassette tapes became fashionable again,0,0,0,0,0,0,0,0,0,0,0
4951,"Money talks  


  Halifax, why are you treating older customers so shabbily?",0,0,0,0,0,0,0,0,0,0,0
4952,Investment funds: where should you go after Woodford?,0,1,1,1,0,1,1,1,1,0,0
4953,Global funds management giant rejects Scott Morrison's attack on activist investors,0,0,0,0,0,0,0,0,0,0,0
4954,Business live  Trump denies agreeing to roll back China tariffs - as it happened,0,0,0,0,0,0,0,0,0,0,0
4955,Elizabeth Warren helps out 'confused' billionaires with new tax calculator,0,0,0,0,0,0,0,0,0,0,0
4956,Trump quashes hopes of early resolution to US-China trade dispute,0,0,0,0,0,0,0,0,0,0,0
4957,"Harrods limits Christmas grotto to £2,000-plus spenders",0,0,0,0,0,0,0,0,0,0,0
4958,Mamas & Papas closes six stores and cuts nearly 130 jobs,0,0,0,0,0,0,0,0,0,0,0
4959,Founder of scandal-hit chicken firm returns to lead poultry division,0,0,0,0,0,0,0,0,0,0,0
4960,Questions raised over UK's state-backed fund for electric car charging,1,1,0,0,0,0,0,1,0,1,0
4961,Capitalism is in crisis. And we cannot get out of it by carrying on as before,0,0,0,0,0,0,0,0,0,0,0
4962,"Innovative packaging  Recycle, reuse, but don’t always replace: experts debate how to cut plastic waste",0,0,0,0,0,0,0,0,0,0,0
4963,Crossrail faces further delays and will cost more than £18bn,0,0,0,0,0,0,0,0,0,0,0
4964,Standard Chartered to halve £474k pension payout for CEO,0,0,0,0,0,0,0,0,0,0,0
4965,Royal Mail applies for high court injunction to try to stop strike,0,0,0,0,0,0,0,0,0,0,0
4966,The long read  How big tech is dragging us towards the next financial crash,1,1,1,1,1,1,1,1,1,1,0
4967,M&S launches its Christmas campaign with all-dancing advert,0,0,0,0,0,0,0,0,0,0,0
4968,Mothercare kicks off closing down sale,0,0,0,0,0,0,0,0,0,0,0
4969,Tories and Labour warned over ambitious spending promises,0,0,0,0,0,0,0,0,0,0,0
4970,Juul halts sales of mint-flavored e-cigarette popular with teenagers,0,0,0,0,0,0,0,0,0,0,0
4971,"Nils Pratley on finance  


  We should mark Carney's words: global growth looks grim",0,1,1,1,0,1,1,1,1,0,0
4972,US-China trade war: hopes of deal rise after partial easing of tariffs,0,0,0,0,0,0,0,0,0,0,0
4973,Politics live with Andrew Sparrow  General election: Lib Dems face backlash over remain pact with Greens and Plaid - as it happened,0,0,0,0,0,0,0,0,0,0,0
4974,Labour and Tories race to ramp up spending despite borrowing risks,0,0,0,0,0,0,0,0,0,0,0
4975,Business live  Bank of England cuts growth forecasts; Wall Street hits another record - business live,0,1,1,1,0,1,1,1,1,0,0
4976,Other lives  David Cardwell obituary,0,0,0,0,0,0,0,0,0,0,0
4977,BritBox: 'inappropriate' classic UK TV shows to be kept off service,0,0,0,0,0,0,0,0,0,0,0
4978,Superdry reports steep sales drop after founder retakes helm,0,0,0,0,0,0,0,0,0,0,0
4979,Giambattista Valli comes to H&M – but will couture work on the high street?,0,0,0,0,0,0,0,0,0,0,0
4980,Bank of England vote raises chances of interest rate cut,0,1,1,1,0,1,1,1,1,0,0
4981,Sajid Javid rips up Tory fiscal rules with vow to spend extra £20bn,0,0,0,0,0,0,0,0,0,0,0
4982,Cabinet Office blocks publication of OBR economic forecast,0,0,0,0,0,0,0,0,0,0,0
4983,Sainsbury's profits dive more than 90% as store closures cost £200m,0,0,0,0,0,0,0,0,0,0,0
4984,Biggest UK fund manager invested in firms it shamed over climate crisis,0,0,0,0,0,0,0,0,0,0,0
4985,Heineken ditches plastic rings and shrink wrap in eco makeover,0,0,0,0,0,0,0,0,0,0,0
4986,Aston Martin blames tough European market for £13.5m loss,0,1,1,1,0,1,1,1,1,0,0
4987,Never knowingly undersoiled – John Lewis trucks to run on cow manure,0,1,0,1,0,1,0,0,1,1,0
4988,Sky Q 2019 review: premium TV at a premium price,0,0,0,0,0,0,0,0,0,0,0
4989,BHP pressured to quit Minerals Council after shareholder vote,0,0,0,0,0,0,0,0,0,0,0
4990,Global investment in cutting greenhouse gases fell by 11% in 2018,1,1,1,1,0,1,1,1,1,1,0
4991,"Nils Pratley on finance  


  M&S struggles to change its spots with clothing range issues",0,1,1,1,0,1,1,1,1,0,0
4992,Shopping centre firm Intu considers cash call amid high street crisis,0,0,0,0,0,0,0,0,0,0,0
4993,"Reject Wetherspoon report over pro-Brexit outlay, investors told",0,0,0,0,0,0,0,0,0,0,0
4994,"Scrap tax relief used by Britain's richest, urges former HMRC head",0,0,0,0,0,0,0,0,0,0,0
4995,Virgin Media agrees five-year mobile deal with Vodafone UK,0,0,0,0,1,0,1,1,0,1,1
4996,Boeing’s boss won’t resign over the 737 Max crashes. Will passengers stand for it?,0,0,0,0,0,0,0,0,0,0,0
4997,"Business live  IMF warns that Europe's economy is weak, as US productivity slides – business live",0,0,0,0,0,0,0,0,0,0,0
4998,Devon's Appledore shipyard close to reopening,0,0,0,0,0,0,0,0,0,0,0
4999,"Xerox considering bid for fellow fading tech giant HP, according to report",1,0,1,1,1,1,0,0,1,1,0
5000,Nichola Pease to join firm husband's hedge fund is betting against,0,0,0,0,0,0,0,0,0,0,0
5001,SoftBank boss takes blame for £5bn loss after WeWork punt,0,1,1,1,0,1,1,1,1,0,0
5002,Ofcom selects Melanie Dawes as chief executive,0,0,0,0,0,0,0,0,0,0,0
5003,Marks & Spencer profits plunge as clothing sales continue to fall,0,0,0,0,0,0,0,0,0,0,0
5004,"America needs to seriously tax the rich – I should know, I'm one of them",0,0,0,0,0,0,0,0,0,0,0
5005,Think billionaires are just super-rich people? Big mistake,0,0,0,0,0,0,0,0,0,0,0
5006,"Posh crumpets are a thing, says Waitrose ... and so is celery juice",0,0,0,0,0,0,0,0,0,0,0
5007,Airport caviar outlets failing to warn fliers on customs limits,0,0,0,0,0,0,0,0,0,0,0
5008,UK betting firms commit to five pledges for safer gambling,0,0,0,0,0,0,0,0,0,0,0
5009,Spinal Tap creators settle lawsuit with Universal Music over copyright dispute,0,0,0,0,0,0,0,0,0,0,0
5010,"Nils Pratley on finance  


  Uber must soon face up to task of picking up some serious money",0,1,1,1,0,1,1,1,1,0,0
5011,'Bait-and-switch scam': AT&T fined $60m over data throttling allegations,0,0,0,0,0,0,0,0,0,0,0
5012,IFS: UK's richest people exploiting loophole to cut tax rate,0,0,0,0,0,0,0,0,0,0,0
5013,UK economy hit as service sector reports big fall in new orders,0,0,0,0,0,0,0,0,0,0,0
5014,Tories blocked from using Treasury to attack Labour plans,0,0,0,0,0,0,0,0,0,0,0
5015,Ken Loach’s new film is a must-see for all,0,0,0,0,0,0,0,0,0,0,0
5016,Primark ramps up US ambitions as sales defy high street gloom,0,0,0,0,0,0,0,0,0,0,0
5017,"Mothercare to cease all UK trading with loss of 2,800 jobs",0,0,0,0,0,0,0,0,0,0,0
5018,Bank of England tells insurers to improve workplace culture,0,1,1,1,0,1,1,1,1,0,0
5019,Controversial US takeover of defence firm Cobham hits new delay,0,0,0,0,0,0,0,0,0,0,0
5020,Shortcuts  Private jets: 40% of these flights are empty. Further reason to ground them,0,0,0,0,0,0,0,0,0,0,0
5021,South Western Railway staff to strike for nearly all of December,0,0,0,0,0,0,0,0,0,0,0
5022,Call to freeze tax and NI thresholds in £45bn assault on poverty,0,0,0,0,0,0,0,0,0,0,0
5023,Business live  Brexit uncertainty squeezes UK economy as service sector stagnates– business live,0,0,0,0,0,0,0,0,0,0,0
5024,Elaine May to make directing comeback at 87,0,0,0,0,0,0,0,0,0,0,0
5025,Former BHS owner Dominic Chappell banned as director,0,0,0,0,0,0,0,0,0,0,0
5026,UK launches £315m new tech fund to help industry cut emissions,1,0,1,1,1,1,0,0,1,1,0
5027,Anger as government lists Grenfell firm as approved contractor,0,0,0,0,0,0,0,0,0,0,0
5028,Women in technology  'A safe space for women to talk frankly': how a meetup app for new mothers was born,1,0,1,1,1,1,0,0,1,1,0
5029,Scorsese on superhero movies: 'The situation fills me with terrible sadness',0,0,0,0,0,0,0,0,0,0,0
5030,"Lesson from America  


  The NHS is a precious thing. Try being ill in the US if you don’t believe this",0,0,0,0,0,0,0,0,0,0,0
5031,Accountancy watchdog warns auditors in wake of Thomas Cook collapse,0,0,0,0,0,0,0,0,0,0,0
5032,"Project Syndicate economists  


  Decades of free-market orthodoxy have taken a toll on democracy",0,1,1,1,0,1,1,1,1,0,0
5033,We might soon be forbidden from falling in love at work. Do we want that?,0,0,0,0,0,0,0,0,0,0,0
5034,The long read  No room at the top: why are US boardrooms still so white?,0,0,0,0,0,0,0,0,0,0,0
5035,Facebook rebrands as FACEBOOK: can capital letters save a toxic brand?,0,0,0,0,0,0,0,0,0,0,0
5036,"TUC: household debt for average family now more than £14,000",1,0,0,0,0,0,0,1,1,0,0
5037,"McDonald's pays ousted chief $675,000 in severance deal",0,0,0,0,0,0,0,0,0,0,0
5038,"Goldman Sachs offers would-be parents on staff $20,000 to buy eggs",0,0,0,0,0,0,0,0,0,0,0
5039,"Nils Pratley on finance  


  Protecting online gamblers would be a good policy for any party",0,1,1,1,0,1,1,1,1,0,0
5040,Shares in UK gambling firms plunge as plans for online curbs emerge,0,0,0,0,0,0,0,0,0,0,0
5041,Cuadrilla vows new data to overturn UK fracking moratorium,0,0,0,0,0,0,0,0,0,0,0
5042,Lampard hints at recruitment pending appeal against Chelsea’s transfer ban,0,0,0,0,0,0,0,0,0,0,0
5043,UK hummus supplier extends product recall over salmonella scare,0,0,0,0,0,0,0,0,0,0,0
5044,MPs berate Tories over failure to rein in corporate excess,0,0,0,0,0,0,0,0,0,0,0
5045,Business live  US stock markets hit new record highs amid trade deal optimism – as it happened,0,1,1,1,0,1,1,1,1,0,0
5046,Labour explores plans to ban private jets from UK airports from 2025,0,0,0,0,0,0,0,0,0,0,0
5047,Major infrastructure projects stall amid Brexit uncertainty,0,0,0,0,0,0,0,0,0,0,0
5048,Can 'nests' and eco bikes reduce the environmental impact of parcel delivery in cities?,0,0,0,0,0,0,0,0,0,0,0
5049,"Mothercare to appoint administrators for UK chain, putting 2,500 jobs at risk",0,0,0,0,0,0,0,0,0,0,0
5050,Ryanair hit by further delay to Boeing 737 Max deliveries,0,0,0,0,0,0,0,0,0,0,0
5051,Better latte than never … compostable coffee pods go on sale,0,0,0,0,0,0,0,0,0,0,0
5052,McDonald's chief executive out over relationship with employee,0,0,0,0,0,0,0,0,0,0,0
5053,World's largest trade deal RCEP faces delay as India pushes back against China,0,0,0,0,0,0,0,0,0,0,0
5054,"If the rich don’t pay tax, they’re welcome to leave",0,0,0,0,0,0,0,0,0,0,0
5055,Chinese giant Jingye is leading contender for British Steel buyout,0,0,0,0,0,0,0,0,0,0,0
5056,Saudi Aramco IPO: the ultimate marriage between carbon and capitalism,0,0,0,0,0,0,0,0,0,0,0
5057,Government under fire for approval of new coalmine in Cumbria,0,0,0,0,0,0,0,0,0,0,0
5058,Saudi oil giant Aramco gets go-ahead for $1.5tn stock listing,0,1,0,1,0,1,0,0,1,1,0
5059,"Economics viewpoint  


  Tory plan to outspend Labour turns party's principle on its head",0,0,0,0,0,0,0,0,0,0,0
5060,"Business leader  


  Corbyn’s warning about the stinking rich could smell sweet to struggling workers",0,0,0,0,0,0,0,0,0,0,0
5061,Observer business agenda  Retail gloom: it will need more than holly to cheer high street,1,0,1,1,1,0,0,0,1,1,0
5062,"William Keegan's in my view  


  Remember: it’s austerity, not Europe, that broke Britain",0,0,0,0,0,0,0,0,0,0,0
5063,"Google, here’s how to help small US businesses: generate demand abroad",0,0,0,0,0,0,0,0,0,0,0
5064,'They're madly checking their payrolls': the ugly truth of Australia's underpayment epidemic,0,0,0,0,0,0,0,0,0,0,0
5065,United Auto Workers chief takes paid leave amid corruption investigation,0,0,0,0,0,0,0,0,0,0,0
5066,Luxury player: why Bernard Arnault is making a blockbuster bid for Tiffany’s,1,0,1,1,1,0,0,0,1,1,0
5067,George Soros: ‘Brexit hurts both sides – my money was used to educate the British public’,0,0,0,0,0,0,0,0,0,0,0
5068,Asda extends deadline for workers to sign new contracts,0,0,0,0,0,0,0,0,0,0,0
5069,Samantha Cameron under fire as fashion label breaches employment rules,0,0,0,0,0,0,0,0,0,0,0
5070,And they're off … £6.8bn Christmas ad spree gets under way,0,0,0,0,0,0,0,0,0,0,0
5071,Why are we being herded into buying part of the world's biggest polluter?,0,0,0,0,0,0,0,0,0,0,0
5072,Malaysia rejects Goldman Sachs offer of $2bn damages over 1MDB scandal,0,0,0,0,0,0,0,0,0,0,0
5073,The Guardian view on His Dark Materials on the BBC: a perfect match,1,1,1,0,0,1,1,0,1,0,0
5074,UK government postpones Huawei 5G decision,0,0,0,0,0,0,0,0,0,0,0
5075,Time to get a move on: is British film animation set for a rapid revival?,0,0,0,0,0,0,0,0,0,0,0
5076,I never expected to go viral just for saying billionaires shouldn’t exist,0,0,0,0,0,0,0,0,0,0,0
5077,My time on The Apprentice taught me a lot about black men in business,0,0,0,0,0,0,0,0,0,0,0
5078,Thomas Cook brand name bought by Chinese conglomerate,0,0,0,0,0,0,0,0,0,0,0
5079,Exploitation in focus  Human rights in the tobacco fields of Malawi – in pictures,0,0,0,0,0,0,0,0,0,0,0
5080,Business live  Stronger-than-expected US jobs data boost stock markets – as it happened,0,1,1,1,0,1,1,1,1,0,0
5081,Brexit uncertainty hits UK manufacturing sector,0,0,0,0,0,0,1,0,0,0,1
5082,Google snaps up Fitbit for $2.1bn,0,0,0,0,0,0,0,0,0,0,0
5083,Virgil Abloh fans queue overnight at Wembley Ikea to buy homeware,0,0,0,0,0,0,0,0,0,0,0
5084,"US economy adds 128,000 jobs in October despite lengthy GM strike",0,0,0,0,0,0,0,0,0,0,0
5085,Bentley Motors loses trademark battle over branded clothing,0,0,0,0,0,0,0,0,0,0,0
5086,Oil giants must cut output by a third to meet climate target – study,0,1,0,1,0,1,0,0,1,1,0
5087,RBS boss Alison Rose vows to take 'bold action' on climate crisis,0,0,0,0,0,0,0,0,0,0,0
5088,Bosses leave car dealer Lookers as Brexit blamed for profit warning,0,0,0,0,0,0,0,0,0,0,0
5089,Giving Footsoldiers a bad name: why film title changes are the biggest crime of all,0,0,0,0,0,0,0,0,0,0,0
